,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Year,Open_CAC40,High_CAC40,Low_CAC40,Close_CAC40,Adj Close_CAC40,Volume_CAC40,Daily_Performance_Actions,Daily_performance_CAC_40
8959,ACA.PA,2022-01-03,12.619999885559082,12.8100004196167,12.600000381469727,12.73799991607666,10.533198356628418,4846202,2022,7197.39990234375,7245.66015625,7195.81982421875,7217.22021484375,7217.22021484375,54644700,0.0,0.0
8960,ACA.PA,2022-01-04,12.8100004196167,13.144000053405762,12.8100004196167,13.039999961853027,10.782926559448242,6062208,2022,7273.56982421875,7332.2099609375,7250.240234375,7317.41015625,7317.41015625,77540000,2.370859222531574,1.3882067946352494
8961,ACA.PA,2022-01-05,13.074000358581543,13.331999778747559,13.038000106811523,13.170000076293945,10.890423774719238,6300320,2022,7320.47998046875,7384.85986328125,7313.52978515625,7376.3701171875,7376.3701171875,0,0.996933395868238,0.8057490242929788
8962,ACA.PA,2022-01-06,13.092000007629395,13.331999778747559,13.0,13.321999549865723,11.016114234924316,7442277,2022,7264.0,7316.06005859375,7240.8798828125,7249.66015625,7249.66015625,89793800,1.154134188999567,-1.7177820381091835
8963,ACA.PA,2022-01-07,13.34000015258789,13.517999649047852,13.305999755859375,13.456000328063965,11.126920700073242,8210181,2022,7250.7900390625,7269.64990234375,7178.18017578125,7219.47998046875,7219.47998046875,78597800,1.0058608521690937,-0.4162978005973317
8964,ACA.PA,2022-01-10,13.534000396728516,13.776000022888184,13.515999794006348,13.527999877929688,11.186458587646484,6403245,2022,7245.2099609375,7250.240234375,7105.5498046875,7115.77001953125,7115.77001953125,80610700,0.5350739306654084,-1.4365295176116843
8965,ACA.PA,2022-01-11,13.59000015258789,13.668000221252441,13.501999855041504,13.501999855041504,11.164958953857422,4447851,2022,7185.2099609375,7227.7099609375,7160.43994140625,7183.3798828125,7183.3798828125,71633500,-0.19219413899168591,0.9501412088315897
8966,ACA.PA,2022-01-12,13.592000007629395,13.944000244140625,13.565999984741211,13.791999816894531,11.404763221740723,6882544,2022,7235.47021484375,7249.8798828125,7183.3798828125,7237.18994140625,7237.18994140625,85271800,2.1478296916493056,0.7490910890359581
8967,ACA.PA,2022-01-13,13.75,13.928000450134277,13.741999626159668,13.89799976348877,11.492416381835938,5653992,2022,7215.47998046875,7227.35009765625,7166.93994140625,7201.14013671875,7201.14013671875,81834900,0.7685611078996235,-0.4981188137849979
8968,ACA.PA,2022-01-14,13.805999755859375,13.843999862670898,13.595999717712402,13.777999877929688,11.393186569213867,7000816,2022,7132.58984375,7171.39990234375,7119.009765625,7143.0,7143.0,79772300,-0.8634327788257123,-0.8073740493160564
8969,ACA.PA,2022-01-17,13.880000114440918,13.892000198364258,13.685999870300293,13.727999687194824,11.35184097290039,4331927,2022,7167.52978515625,7213.7001953125,7148.97998046875,7201.64013671875,7201.64013671875,53465300,-0.3628987601818512,0.8209454951525919
8970,ACA.PA,2022-01-18,13.692000389099121,13.710000038146973,13.552000045776367,13.668000221252441,11.302227020263672,5913413,2022,7172.43017578125,7175.4599609375,7098.18994140625,7133.830078125,7133.830078125,78561500,-0.43705905674188417,-0.9415918777725296
8971,ACA.PA,2022-01-19,13.65999984741211,13.699999809265137,13.4399995803833,13.539999961853027,11.196381568908691,5865550,2022,7104.10986328125,7211.240234375,7104.10986328125,7172.97998046875,7172.97998046875,84173800,-0.9364958832850045,0.5487921903802873
8972,ACA.PA,2022-01-20,13.465999603271484,13.612000465393066,13.331999778747559,13.489999771118164,11.155035972595215,3958223,2022,7190.02001953125,7199.97021484375,7123.6201171875,7194.16015625,7194.16015625,76932800,-0.3692776283288901,0.295277218658363
8973,ACA.PA,2022-01-21,13.29800033569336,13.362000465393066,13.121999740600586,13.284000396728516,10.984692573547363,7371683,2022,7088.43994140625,7122.06005859375,7013.490234375,7068.58984375,7068.58984375,110697300,-1.5270524676411767,-1.7454478323075673
8974,ACA.PA,2022-01-24,13.215999603271484,13.281999588012695,12.777999877929688,12.862000465393066,10.635736465454102,8881109,2022,7014.83984375,7070.919921875,6754.240234375,6787.7900390625,6787.7900390625,0,-3.1767533779912926,-3.972501034782505
8975,ACA.PA,2022-01-25,13.039999961853027,13.156000137329102,12.920000076293945,13.074000358581543,10.811040878295898,5362979,2022,6870.27001953125,6890.5400390625,6776.7998046875,6837.9599609375,6837.9599609375,98212900,1.648265320459985,0.7391201198958974
8976,ACA.PA,2022-01-26,13.140000343322754,13.5,13.128000259399414,13.326000213623047,11.019423484802246,6205467,2022,6901.740234375,7024.14013671875,6901.740234375,6981.9599609375,6981.9599609375,0,1.9274885125430963,2.105891242748048
8977,ACA.PA,2022-01-27,13.239999771118164,13.583999633789062,13.140000343322754,13.402000427246094,11.082267761230469,5154259,2022,6879.64013671875,7053.4501953125,6873.60009765625,7023.7998046875,7023.7998046875,100076500,0.5703152664319422,0.599256426334227
8978,ACA.PA,2022-01-28,13.399999618530273,13.418000221252441,13.0600004196167,13.26200008392334,10.966500282287598,6194981,2022,7043.43017578125,7053.0,6846.22021484375,6965.8798828125,6965.8798828125,106663500,-1.0446227343653525,-0.8246237575898152
8979,ACA.PA,2022-01-31,13.399999618530273,13.420000076293945,13.163999557495117,13.279999732971191,10.98138427734375,4089127,2022,7039.7099609375,7043.22021484375,6937.10009765625,6999.2001953125,6999.2001953125,90912900,0.1357234876636193,0.47833601871623
8980,ACA.PA,2022-02-01,13.399999618530273,13.520000457763672,13.342000007629395,13.515999794006348,11.176535606384277,4402737,2022,7052.2998046875,7105.22998046875,7035.91015625,7099.490234375,7099.490234375,81607500,1.7771089290703923,1.4328785613199946
8981,ACA.PA,2022-02-02,13.569999694824219,13.70199966430664,13.446000099182129,13.562000274658203,11.214573860168457,5471526,2022,7117.4501953125,7150.5400390625,7109.2998046875,7115.27001953125,7115.27001953125,0,0.34034093927890474,0.22226645343979
8982,ACA.PA,2022-02-03,13.616000175476074,13.776000022888184,13.522000312805176,13.741999626159668,11.36341667175293,5515845,2022,7115.2998046875,7125.580078125,6995.41015625,7005.6298828125,7005.6298828125,88710000,1.3272330619090944,-1.540913224906304
8983,ACA.PA,2022-02-04,13.817999839782715,13.857999801635742,13.461999893188477,13.57800006866455,11.227804183959961,7826782,2022,7049.7998046875,7066.43994140625,6914.77001953125,6951.3798828125,6951.3798828125,0,-1.1934184395036906,-0.7743771924505483
8984,ACA.PA,2022-02-07,13.720000267028809,13.739999771118164,13.510000228881836,13.668000221252441,11.302227020263672,5156599,2022,6987.169921875,7025.58984375,6929.7099609375,7009.25,7009.25,72651700,0.6628380625479213,0.8324982688773241
8985,ACA.PA,2022-02-08,13.633999824523926,13.98799991607666,13.564000129699707,13.894000053405762,11.489108085632324,6608503,2022,7008.2001953125,7085.64013671875,6994.14990234375,7028.41015625,7028.41015625,95664200,1.6534959649906256,0.27335529835574857
8986,ACA.PA,2022-02-09,13.920000076293945,14.043999671936035,13.833999633789062,13.960000038146973,11.543684959411621,5158235,2022,7086.33984375,7146.31005859375,7086.33984375,7130.8798828125,7130.8798828125,86888200,0.4750250790810373,1.457936066400145
8987,ACA.PA,2022-02-10,14.050000190734863,14.265999794006348,14.0,14.154000282287598,11.704105377197266,7342064,2022,7141.68994140625,7169.6298828125,7051.60009765625,7101.5498046875,7101.5498046875,86508200,1.3896865588144847,-0.4113107864247456
8988,ACA.PA,2022-02-11,14.039999961853027,14.119999885559082,13.855999946594238,14.055999755859375,11.623067855834961,6322995,2022,7025.5,7071.009765625,6992.08984375,7011.60009765625,7011.60009765625,82859100,-0.6923874839176114,-1.2666208011647972
8989,ACA.PA,2022-02-14,13.633999824523926,13.670000076293945,13.394000053405762,13.5600004196167,11.212920188903809,9771279,2022,6868.06982421875,6875.31005859375,6757.330078125,6852.2001953125,6852.2001953125,117972900,-3.5287375132168286,-2.2733741246456995
8990,ACA.PA,2022-02-15,13.4399995803833,13.720000267028809,13.407999992370605,13.661999702453613,11.29726505279541,6084731,2022,6830.740234375,6983.14013671875,6823.4501953125,6979.97021484375,6979.97021484375,92474100,0.7522070772900236,1.8646568385240148
8991,ACA.PA,2022-02-16,13.720000267028809,13.760000228881836,13.390000343322754,13.437999725341797,11.112035751342773,6958232,2022,7009.68994140625,7031.93017578125,6931.08984375,6964.97998046875,6964.97998046875,74789000,-1.6395841164568825,-0.21476072122945666
