Ticker,Year,Mois,Monthly_Performance,CAC40_Monthly_Performance,Monthly_Beta
ACA.PA,2020,1,-7.243085680600486,-3.892413411404452,0.7783360915644018
ACA.PA,2020,2,-12.398701086323136,-8.960291268800786,1.3794227917594728
ACA.PA,2020,3,-36.103152945582906,-17.57563295742791,1.317242352204825
ACA.PA,2020,4,14.785627718851272,8.674093255348968,1.69247635846722
ACA.PA,2020,5,13.35844592813742,7.245164423809877,1.385603473917724
ACA.PA,2020,6,5.13972887619068,3.6367511628100098,1.4598202352697347
ACA.PA,2020,7,-3.007875951767621,-2.9074841931016824,1.341058774583593
ACA.PA,2020,8,2.5800353994075187,1.462080802891676,1.5689221467653085
ACA.PA,2020,9,-12.238663664134588,-2.726962872095549,1.2139776723089726
ACA.PA,2020,10,-7.576993314857247,-4.763638005213553,1.393088411615334
ACA.PA,2020,11,38.55628703521267,17.637709466242622,1.6635136179479522
ACA.PA,2020,12,1.1268963447125695,-0.5415967301417812,1.7790036388658388
ACA.PA,2021,1,-8.21917936047274,-3.395086050467448,1.759802591055445
ACA.PA,2021,2,22.057587458480945,4.422449343217898,1.139862803071319
ACA.PA,2021,3,4.79626949800542,4.737612438145007,1.194133502165747
ACA.PA,2021,4,3.489307162264492,2.728512403769239,0.8322295822558988
ACA.PA,2021,5,-5.396186323032373,2.207866670165504,1.1260609524618164
ACA.PA,2021,6,-5.138913754733721,0.2840043156316141,1.4041507609845485
ACA.PA,2021,7,-1.901899305897244,0.8993219677545218,1.223134325227596
ACA.PA,2021,8,4.145343415079752,0.0641153028073008,0.8952590681856308
ACA.PA,2021,9,-3.0986369837342367,-3.531456211935488,1.3005035704825834
ACA.PA,2021,10,10.340160252471115,4.796943474673681,1.2667513761547649
ACA.PA,2021,11,-8.577056928388293,-2.497064273185725,0.8442589511400714
ACA.PA,2021,12,1.9827762044226436,3.940203220219568,0.6543549408659222
ACA.PA,2022,1,4.254983674560022,-3.020830916075492,0.6687712416894054
ACA.PA,2022,2,-15.167210875838672,-6.206926718715225,1.0222705547238855
ACA.PA,2022,3,2.9311597927453663,4.11756874726527,1.5118419150905609
ACA.PA,2022,4,-4.981681942631075,-2.252140276900481,0.8944301320587374
ACA.PA,2022,5,0.9592847517030032,0.6721531858486499,0.7244116173949453
ACA.PA,2022,6,-13.844482950695111,-7.72766417359285,1.3905678866909268
ACA.PA,2022,7,2.8522401188193056,8.724240461138319,1.2132598882864334
ACA.PA,2022,8,3.130954109869571,-4.843351762299786,1.2758802988283957
ACA.PA,2022,9,-7.303551594014396,-4.507063975879467,1.150302204785324
ACA.PA,2022,10,8.530247442662077,8.156850015156216,0.9010648619978202
ACA.PA,2022,11,3.311111689799745,6.483621928455734,0.3137817227930888
ACA.PA,2022,12,3.4624339932809214,-4.148825658172266,0.8312115708224517
ACA.PA,2023,1,10.514722454608313,7.397754677865512,0.8238863569239568
ACA.PA,2023,2,4.406717539055304,2.696302815504514,0.9619448110056374
ACA.PA,2023,3,-8.70939903364913,1.2183728336558732,1.108434406829287
ACA.PA,2023,4,5.884593022143501,1.9812255966057024,0.495458309235149
ACA.PA,2023,5,-2.3561591293153654,-3.853342622087173,1.3257430280836198
ACA.PA,2023,6,-0.7485916457994192,1.779337562598331,0.8952119466061961
ACA.PA,2023,7,3.23820057047729,1.503778235296995,0.6633307700024071
ACA.PA,2023,8,3.67252613165114,-1.0986934563108384,0.9889249543783332
AI.PA,2020,1,3.1965254809347297,-3.892413411404452,0.9034820332183316
AI.PA,2020,2,-6.8233494461059445,-8.960291268800786,1.0052126008508486
AI.PA,2020,3,-6.717310147180937,-17.57563295742791,0.8107643169143501
AI.PA,2020,4,1.842110009514993,8.674093255348968,0.6773751787898352
AI.PA,2020,5,8.148807905712681,7.245164423809877,0.7448716462620708
AI.PA,2020,6,4.944830435411575,3.6367511628100098,0.5000724406332783
AI.PA,2020,7,8.680417375692025,-2.9074841931016824,0.7376892022436418
AI.PA,2020,8,-2.4894863362096005,1.462080802891676,0.8633193761239475
AI.PA,2020,9,-2.623070275830657,-2.726962872095549,0.8941920137053653
AI.PA,2020,10,-7.071453281918351,-4.763638005213553,0.8351390205610648
AI.PA,2020,11,6.622773869950412,17.637709466242622,0.46592639182414
AI.PA,2020,12,-1.684360837551882,-0.5415967301417812,0.5565999823749046
AI.PA,2021,1,-1.062661980654763,-3.395086050467448,0.482552209916069
AI.PA,2021,2,-8.376196824836574,4.422449343217898,0.4598528379656318
AI.PA,2021,3,9.340654382020222,4.737612438145007,0.794930205911476
AI.PA,2021,4,0.386878304842307,2.728512403769239,0.5524721200271367
AI.PA,2021,5,-1.052928665517358,2.207866670165504,0.6769930849055721
AI.PA,2021,6,5.7584865090612505,0.2840043156316141,0.9063026987390512
AI.PA,2021,7,-0.972834962549165,0.8993219677545218,0.56072519188953
AI.PA,2021,8,4.660146341107823,0.0641153028073008,-0.2167350845645507
AI.PA,2021,9,-9.282533452043436,-3.531456211935488,0.7426300194233197
AI.PA,2021,10,3.013856041923071,4.796943474673681,0.6379480297438126
AI.PA,2021,11,0.5100535043083306,-2.497064273185725,0.4294916732992302
AI.PA,2021,12,3.706716524156685,3.940203220219568,1.0106622460310324
AI.PA,2022,1,-2.019418285771523,-3.020830916075492,0.798973809307659
AI.PA,2022,2,-2.209646537353559,-6.206926718715225,0.6957802991060847
AI.PA,2022,3,7.407408667858246,4.11756874726527,0.6028682862803842
AI.PA,2022,4,3.726480667831836,-2.252140276900481,0.545154684302175
AI.PA,2022,5,-0.1104151533575256,0.6721531858486499,0.8100479430902603
