Ticker,Year,Annual_Beta
ACA.PA,2020,1.4321867704929303
ACA.PA,2021,1.126310074073096
ACA.PA,2022,1.1148101121358942
ACA.PA,2023,0.9661450974750366
AI.PA,2020,0.7396291952059408
AI.PA,2021,0.6114613227670456
AI.PA,2022,0.8263683461699624
AI.PA,2023,0.815985683522563
AIR.PA,2020,1.729838416200307
AIR.PA,2021,1.6420818741684324
AIR.PA,2022,1.310925536064043
AIR.PA,2023,0.9621971464609472
ALO.PA,2020,0.8083151803007661
ALO.PA,2021,0.7998313440024751
ALO.PA,2022,1.3190340940022407
ALO.PA,2023,1.2879604766047823
BN.PA,2020,0.5433697184593709
BN.PA,2021,0.3973424345903651
BN.PA,2022,0.5895162361372829
BN.PA,2023,0.2943734117080553
BNP.PA,2020,1.4609729155894893
BNP.PA,2021,1.3326957476281278
BNP.PA,2022,1.1935688023438291
BNP.PA,2023,1.5028064897912756
CA.PA,2020,0.5765464818161073
CA.PA,2021,0.384762224094676
CA.PA,2022,0.3360843392553482
CA.PA,2023,0.5668545569205476
CAP.PA,2020,0.9767061482458098
CAP.PA,2021,0.9171104887195184
CAP.PA,2022,1.1685190345007868
CAP.PA,2023,1.0399384562857052
CS.PA,2020,1.2404380426997
CS.PA,2021,0.9740624278201612
CS.PA,2022,0.9411052981256984
CS.PA,2023,1.0428735349716265
DG.PA,2020,1.4650053123097024
DG.PA,2021,1.1762028940061646
DG.PA,2022,0.8964567382438855
DG.PA,2023,0.9079013937578312
DSY.PA,2020,0.6132068453865971
DSY.PA,2021,0.5203978372473048
DSY.PA,2022,0.9577780255886644
DSY.PA,2023,0.8358823260579116
EL.PA,2020,0.8562190865693151
EL.PA,2021,0.9618293047453572
EL.PA,2022,1.105182655857265
EL.PA,2023,0.8710263880370273
EN.PA,2020,1.3477467717521316
EN.PA,2021,0.8228574067486734
EN.PA,2022,0.5862412390159691
EN.PA,2023,0.6444762900032601
ENGI.PA,2020,0.9749006877987124
ENGI.PA,2021,0.6378987148126051
ENGI.PA,2022,0.9006698567519182
ENGI.PA,2023,0.3935618762713304
ERF.PA,2020,0.4474166161639
ERF.PA,2021,-0.0775317805550854
ERF.PA,2022,0.7361230886072415
ERF.PA,2023,0.8354489926396602
GLE.PA,2020,1.7489995337548898
GLE.PA,2021,1.4116588519346829
GLE.PA,2022,1.4220399169730866
GLE.PA,2023,1.3389178623645304
HO.PA,2020,1.0888097991691204
HO.PA,2021,0.788684810297174
HO.PA,2022,0.0065088731352089
HO.PA,2023,0.5583371133750675
KER.PA,2020,1.040926784882377
KER.PA,2021,1.4243589514357118
KER.PA,2022,1.2661269551160463
KER.PA,2023,1.378982137215328
LR.PA,2020,0.8974228076300514
LR.PA,2021,0.6789095294318007
LR.PA,2022,0.9473717250507444
LR.PA,2023,0.8625088054283003
MC.PA,2020,0.9682848256376214
MC.PA,2021,1.419101608754837
MC.PA,2022,1.3030068914561554
MC.PA,2023,1.4215302087456383
ML.PA,2020,0.9845685958570514
ML.PA,2021,0.8796195978260354
ML.PA,2022,1.0407303043701703
ML.PA,2023,0.979782597627559
MT.AS,2020,1.6828360055721336
MT.AS,2021,1.5971964820627091
MT.AS,2022,1.2340464137218077
MT.AS,2023,1.3148752128578287
OR.PA,2020,0.6902227264806463
OR.PA,2021,0.8198797651679142
OR.PA,2022,1.0230402433372503
OR.PA,2023,0.9521421700415282
ORA.PA,2020,0.6610160208436007
ORA.PA,2021,0.3914647389022653
ORA.PA,2022,0.1321221874240337
ORA.PA,2023,0.1882140231205568
PUB.PA,2020,1.0569556449328643
PUB.PA,2021,1.0070428573216672
PUB.PA,2022,1.037596882024462
PUB.PA,2023,0.9471801378041655
RI.PA,2020,0.6235816468320244
RI.PA,2021,0.6370729981995206
RI.PA,2022,0.8011263818658327
RI.PA,2023,0.5846205825018251
RMS.PA,2020,0.6794739200026929
RMS.PA,2021,1.041246182397059
RMS.PA,2022,1.2148353662457867
RMS.PA,2023,1.3405620832845602
RNO.PA,2020,1.7805507795952642
RNO.PA,2021,1.4076397888802206
RNO.PA,2022,1.47135169736537
RNO.PA,2023,1.3483146093282377
SAF.PA,2020,1.7608385964736275
SAF.PA,2021,1.520705488804435
SAF.PA,2022,1.247143761599654
SAF.PA,2023,0.9957322744802576
SAN.PA,2020,0.4865498361215906
SAN.PA,2021,0.3985339270320432
SAN.PA,2022,0.3730968237145716
SAN.PA,2023,0.3202583280891002
SGO.PA,2020,1.186111940119005
SGO.PA,2021,1.1184433447167337
SGO.PA,2022,1.335556094237288
SGO.PA,2023,1.1442020041329213
STMPA.PA,2020,1.2714913107912178
STMPA.PA,2021,1.1213750703253258
STMPA.PA,2022,1.2950055631293842
STMPA.PA,2023,1.4340795403661837
SU.PA,2020,1.0132363854043624
SU.PA,2021,1.00954872168288
SU.PA,2022,1.2795580883543256
SU.PA,2023,1.274400396196543
TEP.PA,2020,0.7079049782233009
TEP.PA,2021,0.3927140909744312
TEP.PA,2022,0.7468307509887346
TEP.PA,2023,0.7737241558082257
TTE.PA,2020,1.3340794871092223
TTE.PA,2021,0.9677070132678188
TTE.PA,2022,0.6941569456196282
TTE.PA,2023,0.9462287537396558
URW.PA,2023,0.986111284573054
VIE.PA,2020,0.9654800456707012
VIE.PA,2021,0.723816827926296
VIE.PA,2022,1.3209615026346264
VIE.PA,2023,0.9164729148434558
VIV.PA,2020,0.6789775337957578
VIV.PA,2021,0.7972677623158962
VIV.PA,2022,0.5384223374519824
VIV.PA,2023,0.6458298523816458
WLN.PA,2020,1.01809895021073
