Ticker,Year,Trimestre,Tri_Performance,CAC40_Tri_Performance,Quarterly_Beta,abs_Beta,Date
ACA.PA,2020,1,-49.26052450277477,-27.23462522241993,1.32,1.32,2020-T1
ACA.PA,2020,2,32.849946919544706,17.321330834540717,1.53,1.53,2020-T2
ACA.PA,2020,3,-10.814038067289928,-2.5066268610684657,1.36,1.36,2020-T3
ACA.PA,2020,4,40.63777523814079,15.078028194161847,1.63,1.63,2020-T4
ACA.PA,2021,1,20.792563057513373,8.557406438299557,1.47,1.47,2021-T1
ACA.PA,2021,2,-5.016880603162599,6.633995958992106,1.13,1.13,2021-T2
ACA.PA,2021,3,-0.3503488253966941,-0.5158832482517985,1.19,1.19,2021-T3
ACA.PA,2021,4,6.193944498865444,9.747929856462608,0.87,0.87,2021-T4
ACA.PA,2022,1,-14.539176077194163,-7.722503693457224,1.27,1.27,2022-T1
ACA.PA,2022,2,-20.045788593461392,-11.391604947073542,1.02,1.02,2022-T2
ACA.PA,2022,3,-4.192431168306811,-2.844689029902581,1.14,1.14,2022-T3
ACA.PA,2022,4,16.15076347467822,11.729241989516805,0.73,0.73,2022-T4
ACA.PA,2023,1,4.125773081668749,11.03666094833144,1.05,1.05,2023-T1
ACA.PA,2023,2,3.859374404978493,0.7364605571488261,1.02,1.02,2023-T2
ACA.PA,2023,3,5.87266912692304,-0.8392141651334131,0.78,0.78,2023-T3
AI.PA,2020,1,-7.9321202579751855,-27.23462522241993,0.83,0.83,2020-T1
AI.PA,2020,2,12.631582047030198,17.321330834540717,0.65,0.65,2020-T2
AI.PA,2020,3,5.488514524225882,-2.5066268610684657,0.81,0.81,2020-T3
AI.PA,2020,4,-0.5923726268353221,15.078028194161847,0.59,0.59,2020-T4
AI.PA,2021,1,2.088673233824261,8.557406438299557,0.55,0.55,2021-T1
AI.PA,2021,2,5.788792524220854,6.633995958992106,0.69,0.69,2021-T2
AI.PA,2021,3,-6.37751081160825,-0.5158832482517985,0.5,0.5,2021-T3
AI.PA,2021,4,9.49864525121081,9.747929856462608,0.7,0.7,2021-T4
AI.PA,2022,1,2.860846192797281,-7.722503693457224,0.66,0.66,2022-T1
AI.PA,2022,2,-11.585948979241556,-11.391604947073542,0.86,0.86,2022-T2
AI.PA,2022,3,-7.389321492365797,-2.844689029902581,1.08,1.08,2022-T3
AI.PA,2022,4,12.393879852712535,11.729241989516805,1.0,1.0,2022-T4
AI.PA,2023,1,14.222219961660878,11.03666094833144,0.68,0.68,2023-T1
AI.PA,2023,2,6.651071569128922,0.7364605571488261,0.94,0.94,2023-T2
AI.PA,2023,3,0.5352176697558864,-0.8392141651334131,0.98,0.98,2023-T3
AIR.PA,2020,1,-55.55722119997938,-27.23462522241993,1.53,1.53,2020-T1
AIR.PA,2020,2,21.68582285320789,17.321330834540717,2.01,2.01,2020-T2
AIR.PA,2020,3,-3.30269927706765,-2.5066268610684657,1.64,1.64,2020-T3
AIR.PA,2020,4,38.3358962534031,15.078028194161847,1.97,1.97,2020-T4
AIR.PA,2021,1,7.397932552043946,8.557406438299557,1.86,1.86,2021-T1
AIR.PA,2021,2,7.986461281315885,6.633995958992106,1.74,1.74,2021-T2
