Date,^FCHI,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,VIE.PA,VIV.PA,Date,Year
2008-06-10,4761.080078125,13.29851245880127,48.30397033691406,13.710000038146973,78.05000305175781,50.71902847290039,60.79999923706055,43.95000076293945,41.38999938964844,20.484434127807617,43.0099983215332,4.175000190734863,40.09000015258789,46.08000183105469,44.380001068115234,5.650000095367432,56.28956985473633,39.029998779296875,75.22920227050781,18.280000686645508,71.58999633789062,12.326801300048828,131.2215118408203,74.37999725341797,18.040000915527344,25.020000457763672,67.30424499511719,96.98999786376953,59.529998779296875,13.0,43.22999954223633,48.119998931884766,7.635000228881836,39.275001525878906,26.049999237060547,53.994998931884766,42.849998474121094,25.258071899414062,2008-06-10,2008
2008-06-11,4660.91015625,13.077031135559082,47.530155181884766,13.600000381469727,75.76499938964844,49.74711227416992,59.650001525878906,43.380001068115234,40.75,20.08871841430664,42.310001373291016,4.151000022888184,39.939998626708984,44.72999954223633,43.150001525878906,5.535999774932861,54.460323333740234,38.540000915527344,72.84053039550781,17.989999771118164,70.47000122070312,11.541730880737305,126.5757827758789,73.73999786376953,18.020000457763672,23.700000762939453,66.04983520507812,97.88999938964844,58.040000915527344,13.09000015258789,42.880001068115234,45.72999954223633,7.599999904632568,38.345001220703125,25.8700008392334,53.400001525878906,40.400001525878906,24.80807113647461,2008-06-11,2008
2008-06-12,4672.2998046875,13.64517879486084,48.066741943359375,13.649999618530273,78.30999755859375,50.011322021484375,61.28499984741211,43.22999954223633,41.16999816894531,20.635881423950195,42.880001068115234,4.164999961853027,39.79999923706055,45.470001220703125,42.09000015258789,5.434000015258789,55.256473541259766,38.849998474121094,74.19751739501953,17.93000030517578,71.58000183105469,11.5972900390625,125.35322570800781,74.98999786376953,18.2549991607666,23.1299991607666,66.6063003540039,102.63999938964844,58.29999923706055,13.350000381469727,42.9900016784668,46.349998474121094,7.429999828338623,38.54499816894531,25.510000228881836,52.90999984741211,39.02000045776367,24.94355583190918,2008-06-12,2008
2008-06-13,4682.2998046875,13.211845397949219,48.631568908691406,14.15999984741211,79.84500122070312,49.728240966796875,61.52000045776367,43.36000061035156,41.15999984741211,20.89969253540039,43.119998931884766,4.198999881744385,39.81999969482422,46.77000045776367,42.25,5.307000160217285,54.87735366821289,39.119998931884766,74.77377319335938,17.979999542236328,72.30000305175781,12.418594360351562,127.06481170654297,74.79000091552734,18.524999618530273,23.020000457763672,66.30448913574219,102.48999786376953,58.88999938964844,13.729999542236328,43.09000015258789,46.279998779296875,7.46999979019165,38.974998474121094,25.989999771118164,52.29499053955078,39.540000915527344,25.025814056396484,2008-06-13,2008
2008-06-16,4657.740234375,13.202216148376465,48.354801177978516,13.869999885559082,81.0250015258789,48.36000442504883,61.904998779296875,42.70000076293945,41.150001525878906,20.992515563964844,42.689998626708984,4.1529998779296875,40.08000183105469,45.439998626708984,41.83000183105469,5.2870001792907715,55.104827880859375,39.15999984741211,74.29045867919922,18.030000686645508,71.66000366210938,12.077994346618652,126.92218017578125,73.91999816894531,18.399999618530273,23.459999084472656,65.62541198730469,102.20999908447266,58.61000061035156,13.699999809265137,42.02000045776367,45.220001220703125,7.544000148773193,39.689998626708984,25.860000610351562,52.61000061035156,38.7599983215332,24.590330123901367,2008-06-16,2008
2008-06-17,4686.330078125,13.337031364440918,48.50165939331055,14.029999732971191,81.94999694824219,48.416622161865234,63.599998474121094,43.220001220703125,41.43000030517578,21.02671241760254,41.7599983215332,4.159999847412109,40.040000915527344,45.36000061035156,42.27000045776367,5.317999839782715,56.86772537231445,39.459999084472656,74.50423431396484,18.09000015258789,72.37000274658203,12.406516075134277,128.1447296142578,73.47000122070312,18.55500030517578,23.209999084472656,65.19155883789062,105.18000030517578,58.810001373291016,13.470000267028809,42.04999923706055,44.150001525878906,7.686999797821045,39.7599983215332,26.030000686645508,52.45000076293945,38.84000015258789,24.812910079956055,2008-06-17,2008
2008-06-18,4618.75,12.817030906677246,48.0949821472168,13.550000190734863,80.73500061035156,48.12410354614258,61.744998931884766,43.22999954223633,41.0099983215332,20.547945022583008,40.79999923706055,4.099999904632568,40.529998779296875,44.709999084472656,42.36000061035156,5.263000011444092,55.0953483581543,38.70000076293945,72.35721588134766,17.559999465942383,71.56999969482422,11.829188346862793,127.98172760009766,72.95999908447266,18.145000457763672,22.709999084472656,64.51248168945312,101.72000122070312,56.88999938964844,12.930000305175781,42.43000030517578,42.56999969482422,7.392000198364258,38.904998779296875,25.709999084472656,51.59000015258789,38.06999969482422,24.667749404907227,2008-06-18,2008
2008-06-19,4591.39013671875,12.691845893859863,47.9029426574707,13.210000038146973,80.95999908447266,46.58601760864258,60.26499938964844,42.810001373291016,40.130001068115234,20.49909019470215,41.25,4.063000202178955,40.290000915527344,43.470001220703125,42.79999923706055,5.230999946594238,53.62626647949219,37.939998626708984,71.69731140136719,17.399999618530273,70.36000061035156,11.737395286560059,133.21836853027344,72.55999755859375,17.950000762939453,22.43000030517578,63.28636169433594,100.8499984741211,56.13999938964844,12.899999618530273,41.939998626708984,41.880001068115234,7.2230000495910645,38.4900016784668,24.75,51.654998779296875,36.91999816894531,24.79839515686035,2008-06-19,2008
2008-06-20,4509.27001953125,12.884437561035156,47.20255661010742,13.180000305175781,78.92500305175781,44.859214782714844,59.310001373291016,41.869998931884766,39.0,20.1424560546875,40.4900016784668,3.9719998836517334,39.369998931884766,42.20000076293945,41.11000061035156,5.223999977111816,53.5030517578125,37.65999984741211,70.41468048095703,17.100000381469727,68.4000015258789,11.362977027893066,132.99423217773438,71.25,17.594999313354492,22.0,62.380924224853516,100.37999725341797,54.970001220703125,12.550000190734863,41.459999084472656,40.0099983215332,6.914000034332275,36.92499923706055,24.0,51.65999984741211,35.93000030517578,23.927427291870117,2008-06-20,2008
2008-06-23,4511.3701171875,12.306660652160645,47.38330078125,12.5,78.08000183105469,44.52894973754883,58.73500061035156,42.0,38.11000061035156,19.658803939819336,40.400001525878906,3.946000099182129,39.560001373291016,41.88999938964844,41.630001068115234,5.260000228881836,52.60264587402344,37.33000183105469,70.07078552246094,17.040000915527344,68.12000274658203,10.990975379943848,134.88919067382812,70.80999755859375,17.739999771118164,22.170000076293945,63.02227783203125,98.2300033569336,53.560001373291016,12.319999694824219,41.540000915527344,40.029998779296875,6.9120001792907715,37.08000183105469,23.329999923706055,52.72499084472656,36.04999923706055,23.86452293395996,2008-06-23,2008
2008-06-24,4473.759765625,12.537772178649902,47.445430755615234,12.5600004196167,75.44999694824219,43.557029724121094,59.880001068115234,40.79999923706055,38.36000061035156,19.649032592773438,39.150001525878906,3.86899995803833,39.150001525878906,40.869998931884766,40.95000076293945,5.2829999923706055,52.697425842285156,37.060001373291016,69.64324188232422,16.93000030517578,66.79000091552734,10.925753593444824,132.87197875976562,69.38999938964844,17.854999542236328,21.389999389648438,61.8621826171875,96.0,52.70000076293945,12.5600004196167,42.02000045776367,39.5099983215332,6.894000053405762,36.36000061035156,23.389999389648438,52.470001220703125,35.15999984741211,23.637104034423828,2008-06-24,2008
2008-06-25,4536.2900390625,13.45258617401123,48.43387985229492,12.949999809265137,73.66999816894531,44.99131774902344,61.08000183105469,41.54999923706055,39.0,20.11314582824707,40.79999923706055,3.9809999465942383,38.86000061035156,42.189998626708984,40.90999984741211,5.380000114440918,55.06691360473633,37.709999084472656,70.89798736572266,16.549999237060547,67.94999694824219,11.59487533569336,129.9582061767578,70.25,18.1299991607666,21.969999313354492,61.890480041503906,98.9800033569336,56.099998474121094,12.899999618530273,42.7400016784668,41.47999954223633,7.041999816894531,36.35499954223633,24.200000762939453,52.314998626708984,36.04999923706055,23.9612979888916,2008-06-25,2008
2008-06-26,4426.18994140625,12.768882751464844,47.665714263916016,12.34000015258789,72.6050033569336,43.19845962524414,59.0,37.880001068115234,38.11000061035156,19.043245315551758,39.08000183105469,3.934999942779541,38.11000061035156,40.790000915527344,40.900001525878906,5.294000148773193,52.40361022949219,36.810001373291016,67.12445068359375,15.890000343322754,66.12999725341797,10.838791847229004,128.9190216064453,67.8499984741211,17.80500030517578,21.25,61.7867317199707,102.5,52.90999984741211,12.449999809265137,42.869998931884766,40.630001068115234,6.74399995803833,34.95000076293945,23.940000534057617,51.880001068115234,35.529998779296875,23.51129722595215,2008-06-26,2008
2008-06-27,4397.31982421875,12.91332721710205,46.99357223510742,12.15999984741211,73.1500015258789,42.169925689697266,57.90999984741211,34.90999984741211,37.16999816894531,18.613330841064453,38.849998474121094,3.8310000896453857,38.290000915527344,42.04999923706055,40.61000061035156,5.497000217437744,52.22352981567383,36.119998931884766,65.78604888916016,16.0,66.05000305175781,10.986144065856934,129.7544403076172,67.43000030517578,17.454999923706055,21.06999969482422,60.59834289550781,99.98999786376953,51.4900016784668,12.380000114440918,42.15999984741211,41.04999923706055,6.7220001220703125,35.005001068115234,23.239999771118164,52.90999984741211,35.38999938964844,22.945167541503906,2008-06-27,2008
